시도별,품목별,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
전국,총지수,9.473,10.925,12.029,13.768,16.29,20.965,25.442,27.271,28.204,28.845,29.555,30.368,31.293,33.53,35.441,38.48,42.071,44.685,46.831,49.765,51.995,54.555,56.977,61.258,61.756,63.151,65.719,67.534,69.908,72.418,74.413,76.081,78.01,81.656,83.906,86.373,89.85,91.815,93.01,94.196,94.861,95.783,97.645,99.086,99.466,100,102.5,107.72,111.59,114.18,116.61
전국,쌀,10.934,13.28,13.947,14.775,17.195,21.763,27.862,28.581,28.393,28.568,30.037,32.391,33.574,36.788,38.682,42.299,44.54,45.776,47.981,50.231,52.62,60.902,63.603,67.701,72.41,75.06,75.272,73.228,74.735,76.217,74.191,69.832,71.446,75.168,75.353,68.818,76.467,83.846,88.444,86.885,84.913,76.155,72.025,91.531,99.209,100,109.4,97.08,98.71,100.33,108.07
전국,달걀,13.063,13.458,14.464,16.614,16.665,19.371,23.304,26.044,27.717,27.809,27.076,25.553,24.687,23.852,32.212,34.114,31.599,36.292,33.402,37.453,40.896,40.033,42.048,50.002,46.318,40.937,50.055,48.5,48.493,61.555,68.949,60.18,61.921,75.471,80.774,77.218,91.348,86.193,92.254,99.785,97.172,88.886,127.685,91.82,92.068,100,141.29,135.59,133.06,134.73,140.43
전국,밀가루,9.754,10.368,10.145,9.961,10.503,15.644,20.18,19.69,18.396,18.197,19.091,20.347,19.548,19.147,20.808,22.869,23.353,25.213,26.205,26.259,27.002,32.72,35.23,52.874,43.771,41.324,43.975,46.08,52.109,57.473,60.638,62.316,67.962,108.732,99.357,84.945,89.419,90.112,98.983,101.473,100.573,99.484,98.352,99.398,101.074,100,100.67,128.83,138.05,135.9,135.64
전국,라면,12.941,13.293,14.477,15.971,19.45,27.036,32.204,33.167,33.184,33.184,33.184,33.184,32.067,31.122,31.34,31.417,31.856,34.488,36.407,39.9,42.166,44.496,45.676,56.285,55.1,54.437,56.736,59.43,63.239,67.157,72.214,72.22,76.8,87.68,89.894,88.618,88.315,94.881,95.367,95.444,95.443,94.842,99.998,100.321,100.204,100,103.14,113.25,122,117.84,123.77
